main_activity,clustered,tilt_subsector
multi-category,food-processing packing machine,Other Industry
multi-category,"foods, precooked",Food Related Products
multi-category,football pitches,Construction Buildings
multi-category,forestry equipment,Machinery & Equipment
multi-category,forestry machinery,Machinery & Equipment
multi-category,formwork sleeve,Construction Residential
multi-category,fresh fruit,Food Related Products
multi-category,fresh parsley,Food Related Products
multi-category,fruit,Food Related Products
multi-category,fruit juices,Food Related Products
multi-category,fruit preserves,Food Related Products
multi-category,fruits import export,Food Related Products
multi-category,full-spectrum oil,Oil Energy
multi-category,garden nets,Construction Buildings
multi-category,gardening equipment,Machinery & Equipment
multi-category,gardening machinery,Machinery & Equipment
multi-category,general renovation work,Construction Buildings
multi-category,glass bottle,Construction Residential
multi-category,glass closures,Construction Residential
multi-category,glass flask,Construction Residential
multi-category,glass jars,Construction Residential
multi-category,glass manufacturing equipment,Machinery & Equipment
multi-category,glass manufacturing machinery,Machinery & Equipment
multi-category,goal nets,Construction Buildings
multi-category,gold electroplating,Other Metals
multi-category,gourmet foods,Food Related Products
multi-category,granite,Construction Buildings
multi-category,granules for plastics,Other Industry
multi-category,green business counselling,Renewable Energy
multi-category,greenhouse plant,Agriculture & Livestock
multi-category,ham,Food Related Products
multi-category,harbour services for pleasure craft,Other Transport
multi-category,hardware,Construction Residential
multi-category,harvester spare parts,Machinery & Equipment
multi-category,health products,Agriculture & Livestock
multi-category,heat shrinkable film,Food Related Products
multi-category,heating plants,Total Power
multi-category,hemp,Agriculture & Livestock
multi-category,hemp flowers,Oil Energy
multi-category,hemp seed oil,Agriculture & Livestock
multi-category,herbs for cooking,Food Related Products
multi-category,high-frequency textile welding,Other Transport
multi-category,horse boxes,Construction Residential
multi-category,horticulture equipment,Machinery & Equipment
multi-category,horticulture machinery,Machinery & Equipment
multi-category,hose balancer,Machinery & Equipment
multi-category,housing bearings,Machinery & Equipment
multi-category,housing units for ball bearings,Machinery & Equipment
multi-category,hydraulic accessories for pumps,Machinery & Equipment
multi-category,hydraulic accessories for tanks,Machinery & Equipment
multi-category,hygrometer,Other Industry
multi-category,import-export assistance,Oil Energy
multi-category,import-export energy,Total Energy
multi-category,import-export raw materials,Total Energy
multi-category,import/export of vegetables,Food Related Products
multi-category,indoor plants,Agriculture & Livestock
multi-category,industrial engineering,Machinery & Equipment
multi-category,industrial tools,Machinery & Equipment
multi-category,industrial waste recycling,Other Industry
multi-category,industrial water softeners,Other Industry
multi-category,inflatable profiles,Construction Buildings
multi-category,integrators,A: Agriculture & Livestock
multi-category,international delivery,Total Energy
multi-category,international rental,Total Power
multi-category,international trade consultants,Food Related Products
multi-category,items for pharmacies,Machinery & Equipment
multi-category,jars made of aluminium,Other Industry
multi-category,jewellery,Other Metals
multi-category,jewelry drop shipping,Construction Residential
multi-category,jewelry dropshipping,Construction Residential
multi-category,jewelry supplier,Construction Residential
multi-category,jewelry supplies,Other Metals
multi-category,joinery articles,Machinery & Equipment
multi-category,keys,Construction Residential
multi-category,kimonos,Food Related Products
multi-category,labelling machines,Other Industry
multi-category,ldpe film,Food Related Products
multi-category,leisure time accessories,Machinery & Equipment
multi-category,lift accessory,Machinery & Equipment
multi-category,lifting equipment - accessories,Machinery & Equipment
multi-category,limestone,Construction Buildings
multi-category,linear axes,Machinery & Equipment
multi-category,linen,Food Related Products
multi-category,liquid filters,Machinery & Equipment
multi-category,liquors,Food Related Products
multi-category,livestock raising machinery,Machinery & Equipment
multi-category,locks,Construction Residential
multi-category,machine stretch film,Food Related Products
multi-category,machine tool,Machinery & Equipment
multi-category,machine tools - metal shaping,Machinery & Equipment
multi-category,machine tools accessories,Machinery & Equipment
multi-category,machine tools part,Machinery & Equipment
multi-category,machinery,Machinery & Equipment
multi-category,"machinery, reconditioned",Machinery & Equipment
multi-category,"machinery, used",Machinery & Equipment
multi-category,machining,Construction Residential
multi-category,madagascar bourbon vanilla,Food Related Products
multi-category,madagascar coffee,Food Related Products
multi-category,madagascar vanilla producer,Agriculture & Livestock
multi-category,magnetic antiscale treatment systems,Other Industry
multi-category,maintenance work,Construction Buildings
multi-category,maker of cured meats,Food Related Products
multi-category,management of maritime ports,Other Transport
multi-category,manegement of tourist ports,Other Transport
multi-category,manual retractable terminals,Construction Buildings
multi-category,manual stretch film,Food Related Products
multi-category,manufacturer of natural cosmetic products,Food Related Products
multi-category,marble,Construction Residential
multi-category,marinade,Food Related Products
multi-category,mechanic engineering,Iron & Steel
multi-category,medicinal plant,Agriculture & Livestock
multi-category,medicines,Total Energy
multi-category,membrane filters,Machinery & Equipment
multi-category,metal articles for the food and canning industry,Food Related Products
multi-category,metal boxes,Other Metals
multi-category,metal container,Other Metals
multi-category,metal machining accessories,Machinery & Equipment
multi-category,metal machining parts,Machinery & Equipment
multi-category,metal shaping accessories,Machinery & Equipment
multi-category,metal shaping parts,Machinery & Equipment
multi-category,metrology,Machinery & Equipment
multi-category,microfiltration,Machinery & Equipment
multi-category,milk centrifuge,Food Related Products
multi-category,milking equipment,Machinery & Equipment
multi-category,milking machinery,Machinery & Equipment
multi-category,miscellaneous products of animal origin,Agriculture & Livestock
multi-category,modular silos,Construction Buildings
multi-category,motorised lifting equipment,Machinery & Equipment
multi-category,motorway signalling devices,Construction Buildings
multi-category,moulds for crystal,Machinery & Equipment
multi-category,moulds for glass,Machinery & Equipment
multi-category,natural cosmetics,Food Related Products
multi-category,natural gas,Bioenergy & Waste Energy
multi-category,natural stone,Bioenergy & Waste Energy
multi-category,natural treatment oils,Food Related Products
multi-category,nets,Construction Buildings
multi-category,nets assembled,Construction Buildings
multi-category,nickel plating,Iron & Steel
multi-category,non food film,Other Industry
multi-category,nutrition,Food Related Products
multi-category,nuts,Agriculture & Livestock
multi-category,oil,Oil Energy
multi-category,oil presses,Machinery & Equipment
multi-category,olive oil producer,Food Related Products
multi-category,order management,Machinery & Equipment
multi-category,organic childcare articles,Food Related Products
multi-category,organic citrus fruits,Food Related Products
multi-category,organic cosmetic product,Food Related Products
multi-category,organic cosmetics,Food Related Products
multi-category,organic cosmetics for body care,Food Related Products
multi-category,organic food,Agriculture & Livestock
multi-category,organic treatment oils,Food Related Products
multi-category,overhead equipment,Machinery & Equipment
multi-category,packaging equipment,Other Industry
multi-category,packaging machinery,Other Industry
multi-category,packing equipment,Agriculture & Livestock
multi-category,packing machinery,Agriculture & Livestock
multi-category,pallet,Construction Residential
multi-category,pallet boxes,Other Industry
multi-category,pallet cages,Other Industry
multi-category,pallet container,Other Industry
multi-category,pallet shrink film,Food Related Products
multi-category,pallet stretch film,Food Related Products
multi-category,partitions,Construction Buildings
multi-category,pet bottle,Other Industry
multi-category,pet food,Food Related Products
multi-category,petroleum,Bioenergy & Waste Energy
multi-category,pharmaceutical machines,Machinery & Equipment
multi-category,pharmaceutical products,Total Energy
multi-category,pharmaceuticals,Machinery & Equipment
multi-category,pharmaceuticals packaging machinery,Machinery & Equipment
multi-category,pharmaceuticals – import-export,The subsector for this combination of main_activity
multi-category,pharmacy laboratories,Food Related Products
multi-category,pins,Construction Residential
multi-category,pistachio,Food Related Products
multi-category,plant construction,Construction Buildings
multi-category,plants for cooking,Food Related Products
multi-category,plastering contractors,Construction Buildings
multi-category,plastic bottle,Food Related Products
multi-category,plastic closures,Other Industry
multi-category,plastic homogenisation to order,Other Industry
multi-category,plastic pallet boxes,Other Industry
multi-category,plastic processing,Other Industry
multi-category,plastic processing machinery,Machinery & Equipment
multi-category,plastic products for construction work,Construction Residential
multi-category,plastic screw,Other Metals
multi-category,plastic tins (packaging),Other Industry
multi-category,plastics - industrial products,Iron & Steel
multi-category,plastics ground,Other Industry
multi-category,plating,Iron & Steel
multi-category,pleasure boat,Shipping
multi-category,pleasure boats components,Shipping
multi-category,pleasure boats equipment,Shipping
multi-category,pneumatic impulse wrenches,Machinery & Equipment
multi-category,pneumatic pliers,Machinery & Equipment
multi-category,polyurethane manufacture,Construction Residential
multi-category,port equipment,Other Transport
multi-category,port services,Other Transport
multi-category,positioners,Machinery & Equipment
multi-category,positioning system,Machinery & Equipment
multi-category,potato supplier,Food Related Products
multi-category,"potatoes, instant preparations",Food Related Products
multi-category,"potatoes, mixes",Food Related Products
multi-category,prawns,Fishing & Forestry
multi-category,premier cru champagne,Food Related Products
multi-category,prickly pear pip oil,Food Related Products
multi-category,proces equipment,Machinery & Equipment
multi-category,process storage,Construction Buildings
multi-category,production equipment,Machinery & Equipment
multi-category,production of fruit,Food Related Products
multi-category,production of vegetables,Food Related Products
multi-category,protective clothing,Other Transport
multi-category,protective wear,Other Transport
multi-category,provitamins,Food Related Products
multi-category,quality certification,Machinery & Equipment
multi-category,quality control,Machinery & Equipment
multi-category,quality control equipment,Machinery & Equipment
multi-category,rain clothing,Other Transport
multi-category,rainwear,The subsector for this combination of main_activity
multi-category,real estate innovation,Construction Residential
multi-category,real estate marketing,Construction Residential
multi-category,"real estate, business agencies",Construction Residential
multi-category,"real estate, business developers",Construction Residential
multi-category,"real estate, industrial agencies",Construction Residential
multi-category,"real estate, industrial developers",Construction Residential
multi-category,recovery,Other Industry
multi-category,rectangular silos,Construction Buildings
multi-category,recycled plastics,A: Other Industry
multi-category,recycling,Bioenergy & Waste Energy
multi-category,rendering,Construction Residential
multi-category,renewable energy,Renewable Energy
multi-category,renovation profiles,Construction Buildings
multi-category,"renovation, contractors",Construction Residential
multi-category,research,Agriculture & Livestock
multi-category,"restoration, contractors",Construction Residential
multi-category,reusable environmentally friendly household cleaning items,Other Industry
multi-category,rivet,Iron & Steel
multi-category,road safety equipment,Construction Residential
multi-category,road safety systems,Construction Residential
multi-category,road signalling devices,Construction Buildings
multi-category,roadlaying materials,Construction Buildings
multi-category,roller bearings,Machinery & Equipment
multi-category,rolls of thermal paper,Construction Buildings
multi-category,rubber processing,Food Related Products
multi-category,saffron,Food Related Products
multi-category,sale of fruit,Food Related Products
multi-category,sale of vegetables,Food Related Products
multi-category,sales department,Other Industry
multi-category,sauces,Food Related Products
multi-category,sausage,Food Related Products
multi-category,sawdust,Bioenergy & Waste Energy
multi-category,scallop,Fishing & Forestry
multi-category,scissor rollerblinds,Construction Buildings
multi-category,scrap metal business,Automotive HDV
multi-category,"screw systems, angle controlled",Machinery & Equipment
multi-category,"screw systems, torque controlled",Machinery & Equipment
multi-category,screws made to order,Iron & Steel
multi-category,sealing section,Construction Buildings
multi-category,seamer parts,Machinery & Equipment
multi-category,seamers,Machinery & Equipment
multi-category,seasonings,Food Related Products
multi-category,security alarm,Construction Residential
multi-category,security articles equipment,Construction Residential
multi-category,security articles systems,Construction Residential
multi-category,security service,Machinery & Equipment
multi-category,self-clinching studs,Iron & Steel
multi-category,"semi-finished products, rubber",Construction Residential
multi-category,sensor,Machinery & Equipment
multi-category,sensor equipment,Machinery & Equipment
multi-category,sexy strengthening for men,Food Related Products
multi-category,sexy strengthening for women,Food Related Products
multi-category,shade cloths,Construction Buildings
multi-category,ship chandlers,Shipping
multi-category,shrimp,Fishing & Forestry
multi-category,silicon profiles,Construction Buildings
multi-category,"silos, metal",Construction Buildings
multi-category,slaughterhouses equipment,Machinery & Equipment
multi-category,slaughterhouses machinery,Machinery & Equipment
multi-category,slimming capsules lose weight,Food Related Products
multi-category,small turned parts,Other Metals
multi-category,snack,Food Related Products
multi-category,soil conditioners,Agriculture & Livestock
multi-category,solar mounting systems,Renewable Energy
multi-category,sound-absorbing barriers,Construction Buildings
multi-category,soya,Agriculture & Livestock
multi-category,spacing sleeves,Iron & Steel
multi-category,spare parts for diesel engines,Shipping
multi-category,spare parts for farm tractors,Machinery & Equipment
multi-category,sparkling wines,Food Related Products
multi-category,spices,Food Related Products
multi-category,spices for food,Food Related Products
multi-category,spindle,Other Metals
multi-category,spirits,Food Related Products
multi-category,sports nets,Construction Buildings
multi-category,spring balancer,Machinery & Equipment
multi-category,square silos,Construction Buildings
multi-category,stamping parts,Construction Residential
multi-category,steam boiler,Total Power
multi-category,steel construction,Construction Buildings
multi-category,steel pallet containers,Other Industry
multi-category,stillages,Other Industry
multi-category,stock management,Machinery & Equipment
multi-category,stone,Machinery & Equipment
multi-category,"stoneware, crockery",Construction Buildings
multi-category,storage equipment,Machinery & Equipment
multi-category,storage system,Machinery & Equipment
multi-category,stretch wrap,Food Related Products
multi-category,structural work,Construction Buildings
multi-category,structures for photovoltaic installations,Renewable Energy
multi-category,stud welding equipment,Construction Buildings
multi-category,supply chain execution,Other Industry
multi-category,surface coating,Renewable Energy
multi-category,surface treatment,Renewable Energy
multi-category,surveillance equipment,Construction Residential
multi-category,sustainable development,Construction Residential
multi-category,sustainable projects,Renewable Energy
multi-category,swimming pool equipment,Construction Buildings
multi-category,swimming pool installation,Construction Buildings
multi-category,synthetic bottles,Other Industry
multi-category,synthetic closures,Other Industry
multi-category,syrups,Food Related Products
multi-category,system assistance,Construction Residential
multi-category,table ornaments,Construction Buildings
multi-category,tar construction materials,Construction Buildings
multi-category,tennis courts,Construction Buildings
multi-category,tennis installations,Construction Buildings
multi-category,terry cloth towels,Food Related Products
multi-category,textile recovery,Other Industry
multi-category,textile recycling,Other Industry
multi-category,thermohygrometers,Construction Buildings
multi-category,threaded spindles,Machinery & Equipment
multi-category,threaded stays,Construction Residential
multi-category,tight distribution network,Food Related Products
multi-category,tins made of glass,Construction Residential
multi-category,tins made of plastic,Other Industry
multi-category,torque gauges,Machinery & Equipment
multi-category,torque meters,Machinery & Equipment
multi-category,torque sensors,Machinery & Equipment
multi-category,torque wrenches,Machinery & Equipment
multi-category,towel,Machinery & Equipment
multi-category,"tractors, agricultural",Machinery & Equipment
multi-category,trading company,Oil Energy
multi-category,truck engine export,Machinery & Equipment
multi-category,truck-mounted cranes,Machinery & Equipment
multi-category,tying machines,Machinery & Equipment
multi-category,uganda vanilla,Food Related Products
multi-category,upper works,Shipping
multi-category,urban fixtures,Construction Buildings
multi-category,urban installations,Construction Buildings
multi-category,used equipment,Machinery & Equipment
multi-category,vacuum packed vanilla,Food Related Products
multi-category,veal,Agriculture & Livestock
multi-category,vehicle accessories,Automotive LDV
multi-category,vehicle equipment,Automotive HDV
multi-category,vehicle part,Automotive LDV
multi-category,"vehicles, mechanical components",Automotive HDV
multi-category,ventilaiton equipment,Renewable Energy
multi-category,vertical packaging machines,Machinery & Equipment
multi-category,"vials, glass",Other Industry
multi-category,video surveillance systems,Construction Residential
multi-category,vitamin,Food Related Products
multi-category,walnut,Food Related Products
multi-category,warehouse cold storage,Construction Buildings
multi-category,warehouse stock-management services,Machinery & Equipment
multi-category,washable fabric infant nappies,Other Industry
multi-category,waste processing,Renewable Energy
multi-category,waste recycling,Renewable Energy
multi-category,waste recycling installations,Renewable Energy
multi-category,waste recycling machines,Renewable Energy
multi-category,waste treatment machines,Renewable Energy
multi-category,water protection clothing,Other Transport
multi-category,water purification equipment,Machinery & Equipment
multi-category,water purification systems,Machinery & Equipment
multi-category,water softening equipment,Other Industry
multi-category,water softening systems,Other Industry
multi-category,"water treatment equipment, industrial",Machinery & Equipment
multi-category,water treatment plants with magnetic fields,Other Industry
multi-category,"water treatment systems, industrial",Machinery & Equipment
multi-category,water ultra filtration systems,Machinery & Equipment
multi-category,weatherproof clothing,Other Transport
multi-category,weatherproofing contractors,Construction Buildings
multi-category,wells,Construction Buildings
multi-category,wholesale car accessories,Automotive LDV
multi-category,wholesale food,Food Related Products
multi-category,wicker fences,Construction Residential
multi-category,window profiles,Construction Buildings
multi-category,wine,Agriculture & Livestock
multi-category,wines - bordeaux,Food Related Products
multi-category,wines - loire valley,Food Related Products
multi-category,wood charcoal,Bioenergy & Waste Energy
multi-category,work bags,Construction Buildings
multi-category,work clothing,A: Other Transport
multi-category,work wear,Construction Residential
multi-category,workplace safety,Construction Buildings
multi-category,wrapping machines,Machinery & Equipment
multi-category,yacht broker,Shipping
multi-category,yacht building,Shipping
multi-category,yacht rental,Shipping
retailer,accessories,The tilt_subsector would be Machinery
retailer,accessories for pets,Agriculture & Livestock
retailer,additives for the composites industry,Construction Buildings
retailer,additives for the plastics industry,Construction Buildings
retailer,advertising items,Machinery & Equipment
retailer,agri-food chemical analysis,Agriculture & Livestock
retailer,agricultural accessories,Food Related Products
retailer,agricultural equipment,Machinery & Equipment
retailer,agricultural machines,Machinery & Equipment
retailer,agricultural systems,Machinery & Equipment
retailer,agriculture,Agriculture & Livestock
retailer,agriculture equipment,Automotive HDV
retailer,agriculture industry machines,Agriculture & Livestock
retailer,agriculture machinery,Machinery & Equipment
retailer,agritourism,Food Related Products
retailer,air balloons,Shipping
retailer,air conditioning,Renewable Energy
retailer,alarm for cars,Automotive LDV
retailer,alarm for lorries,Automotive LDV
retailer,alarm system,Construction Residential
retailer,alarms equipment,Construction Residential
retailer,aluminium household articles,Machinery & Equipment
retailer,animal accessories,Agriculture & Livestock
retailer,anti-caloric treatment,Construction Residential
retailer,anti-theft devices for motor vehicles,Automotive LDV
retailer,"anti-theft systems, vehicles",Automotive LDV
retailer,apartment plants,Agriculture & Livestock
retailer,aquaculture,Agriculture & Livestock
retailer,aquarium accessories,Other Industry
retailer,aquarium fish,Fishing & Forestry
retailer,aquarium fish food,Food Related Products
retailer,aquariums,Other Industry
retailer,armenian gold jewellery,Iron & Steel
retailer,armenian jewellery,Iron & Steel
retailer,armenian jewellery repaired,Iron & Steel
retailer,armenian silver jewellery,Iron & Steel
retailer,aromatic herbs,Food Related Products
retailer,aromatic plants,Agriculture & Livestock
retailer,articles for cats,Food Related Products
retailer,articles for dogs,Food Related Products
retailer,articles for fish,Fishing & Forestry
retailer,articles for the naval sector,Shipping
retailer,artificial flowers,Construction Buildings
retailer,artificial fruit,Construction Buildings
retailer,artificial plants,Construction Buildings
retailer,artisan jeweller,Iron & Steel
retailer,audio-video advertising,Agriculture & Livestock
retailer,authorised dealer,Automotive LDV
retailer,automobile advice,Automotive LDV
retailer,automobile components,Automotive LDV
retailer,automobile dealer,Automotive LDV
retailer,automobile junkyard,Automotive HDV
retailer,aviary,Agriculture & Livestock
retailer,baby foods,Food Related Products
retailer,baby product,Food Related Products
retailer,baby set,Food Related Products
retailer,bakery equipment,Food Related Products
retailer,bakery machinery,Machinery & Equipment
retailer,bakery ovens,Machinery & Equipment
retailer,baking moulds,Machinery & Equipment
retailer,bar equipment,Machinery & Equipment
retailer,barges - construction,Shipping
retailer,"barrels, wood",Food Related Products
retailer,bars machinery,Machinery & Equipment
retailer,bas trucks,Automotive HDV
retailer,basket lifts,Machinery & Equipment
retailer,bathroom accessory,Construction Residential
retailer,bathrooms fittings,Construction Buildings
retailer,battery charger,Automotive LDV
retailer,beach maintenance equipment,Construction Buildings
retailer,beach maintenance machines,Construction Buildings
retailer,beauty care - equipment,Machinery & Equipment
retailer,beauty products,Food Related Products
retailer,beer,Food Related Products
retailer,beer equipment,Food Related Products
retailer,beverage additives,Food Related Products
retailer,bicycle accessories,Agriculture & Livestock
retailer,bicycle carrier,Machinery & Equipment
retailer,bicycle components,Machinery & Equipment
retailer,bicycle parts,Machinery & Equipment
retailer,bio certified essential oils,Food Related Products
retailer,biodynamic agriculture,Agriculture & Livestock
retailer,bird cages,A: Agriculture & Livestock
retailer,bird food supplements,Food Related Products
retailer,boat dealer,Shipping
retailer,boat seller,Shipping
retailer,boats,Shipping
retailer,boats for sale,Shipping
retailer,body work equipment,Machinery & Equipment
retailer,body work machinery,Machinery & Equipment
retailer,bonding compounds,Construction Buildings
retailer,book,Other Industry
retailer,bouquets composition,Agriculture & Livestock
retailer,brand gifts,Food Related Products
retailer,brass-plated flower-stand,Construction Residential
retailer,bread,Food Related Products
retailer,brewing equipment,Food Related Products
retailer,brewing machinery,Machinery & Equipment
retailer,bulk material,Construction Buildings
retailer,"bulps, bedding plants",Agriculture & Livestock
retailer,butcher's shop,Food Related Products
retailer,butchery equipment,Food Related Products
retailer,butchery machinery,Machinery & Equipment
retailer,buy sell vehicles,Automotive LDV
retailer,buying second-hand goods,Automotive LDV
retailer,cafés equipment,Machinery & Equipment
retailer,cafés machinery,Machinery & Equipment
retailer,cages for domestic animals,Agriculture & Livestock
retailer,cake,Food Related Products
retailer,camper van,Automotive LDV
retailer,campers,Automotive LDV
retailer,camping accessories,Construction Buildings
retailer,camping equipment,Automotive LDV
retailer,camping gear,Other Transport
retailer,camping parts,Other Transport
retailer,camping vehicles,Automotive LDV
retailer,canned food,Food Related Products
retailer,canned vegetable,Food Related Products
retailer,canoes,Other Transport
retailer,"canopies, metal",Iron & Steel
retailer,car,Automotive LDV
retailer,car accessories,Automotive LDV
retailer,car baby seats,Construction Residential
retailer,car buyers,Automotive LDV
retailer,car component,Automotive HDV
retailer,car dealer,Automotive LDV
retailer,car filters,Machinery & Equipment
retailer,car hail damage repairs,Automotive HDV
retailer,car keys,Automotive LDV
retailer,car lifts for garages,Automotive LDV
retailer,car parts,Automotive HDV
retailer,car purchase,Automotive LDV
retailer,car radio accessories,Automotive LDV
retailer,car rental,Automotive HDV
retailer,car repairs,Automotive HDV
retailer,car spare part,Automotive LDV
retailer,car tracks,Automotive HDV
retailer,car workshop,Automotive HDV
retailer,caravans,Automotive LDV
retailer,caravans accessories,Automotive LDV
retailer,caravans parts,Automotive LDV
retailer,cardboard manufacturing equipment,Machinery & Equipment
retailer,cardboard manufacturing machinery,Machinery & Equipment
retailer,cargo transport,Other Transport
retailer,carp,Machinery & Equipment
retailer,"cars, electrical parts",Automotive LDV
retailer,cash registers,Machinery & Equipment
retailer,"cash registers, automatic",Machinery & Equipment
retailer,casks,Food Related Products
retailer,castors,Automotive HDV
retailer,cat food,Food Related Products
retailer,catering equipment,Food Related Products
retailer,catering machinery,Machinery & Equipment
retailer,catering service,Food Related Products
retailer,cbd,A: Agriculture & Livestock
retailer,cbd flowers,Agriculture & Livestock
retailer,cbd infusions,Food Related Products
retailer,cbd online sales,Food Related Products
retailer,cbd products,Food Related Products
retailer,cement-making equipment,Construction Buildings
retailer,cement-making machinery,Construction Buildings
retailer,ceramic manufacturing equipment,Machinery & Equipment
retailer,ceramic manufacturing machinery,Machinery & Equipment
retailer,"ceramic, crockery",Construction Buildings
retailer,cereal,Agriculture & Livestock
retailer,cereals and grains,Food Related Products
retailer,chainsaws,Fishing & Forestry
retailer,chocolate,Food Related Products
retailer,chocolate factory,Food Related Products
retailer,"chocolates, filled",Food Related Products
retailer,christmas baskets,Food Related Products
retailer,circulation pumps,Fishing & Forestry
retailer,classic car upholstery,Automotive LDV
retailer,cleaning equipment,Automotive LDV
retailer,clinker floor coverings,Construction Buildings
retailer,clock,Iron & Steel
retailer,clothing for motorcycling,Automotive LDV
retailer,coins,Iron & Steel
retailer,coins purchased,Iron & Steel
retailer,cold storage rooms for frozen products,Machinery & Equipment
retailer,collection,Construction Buildings
retailer,collection coins,Iron & Steel
retailer,collectors' tokens in gold,Iron & Steel
retailer,collectors' toys,Other Transport
retailer,commercial vehicles electrical parts,Automotive HDV
retailer,company gift services,Food Related Products
retailer,concrete preparing equipment,Construction Buildings
retailer,concrete preparing machinery,Construction Buildings
retailer,condiments,Food Related Products
retailer,confectionary,Food Related Products
retailer,confectionary industry equipment,Food Related Products
retailer,confectionery machinery,Machinery & Equipment
retailer,construction,Construction Buildings
retailer,construction equipment,Construction Buildings
retailer,construction machinery,Construction Residential
retailer,construction of artificial ponds,Agriculture & Livestock
retailer,construction site installations,Construction Residential
retailer,cooking equipment,Food Related Products
retailer,coriander,Agriculture & Livestock
retailer,cosmetic,Other Metals
retailer,costume jewellery,Iron & Steel
retailer,cotto tiles,Construction Buildings
retailer,cranes,Machinery & Equipment
retailer,creatine,Food Related Products
retailer,crockery,Construction Buildings
retailer,"crockery, porcelain",Construction Buildings
retailer,crop planting,Agriculture & Livestock
retailer,crop protection,Agriculture & Livestock
retailer,crude oil installations,Oil Energy
retailer,crustaceans,Food Related Products
retailer,curtains for interiors,Construction Residential
retailer,cutting - machine tools,Iron & Steel
retailer,cyclette,Machinery & Equipment
retailer,cycling clothing,Other Transport
retailer,cycling goods,Other Transport
retailer,dairies equipment,Food Related Products
retailer,dairies machinery,Food Related Products
retailer,damaged cars,Automotive LDV
retailer,decorations gifts,Other Metals
retailer,decorative porcelain,Construction Buildings
retailer,delicatessen machinery,Machinery & Equipment
retailer,delicatessen products,Food Related Products
retailer,demolition of heavy goods vehicles,Automotive HDV
retailer,dermocosmetics,Food Related Products
retailer,detergents for cars,Automotive HDV
retailer,diamonds,The tilt_subsector would be Other Metals
retailer,dietary foods,Food Related Products
retailer,dill,Agriculture & Livestock
retailer,dish detergent,Other Industry
retailer,do-it-yourself items,Construction Residential
retailer,dog accessory,Agriculture & Livestock
retailer,dog food,Food Related Products
retailer,"doors, house",Construction Buildings
retailer,drainage works,Construction Residential
retailer,dressed pork factory products,Food Related Products
retailer,drilling equipment,Machinery & Equipment
retailer,drilling machinery,Construction Residential
retailer,drone for crop inspections,Agriculture & Livestock
retailer,dry sausage,Food Related Products
retailer,dumptruck rental,Machinery & Equipment
retailer,e-business - services,Other Transport
retailer,e-commerce,Machinery & Equipment
retailer,ecological food,Agriculture & Livestock
retailer,ecological housekeeping products,A: Agriculture & Livestock
retailer,electric car,Automotive HDV
retailer,electric systems,Renewable Energy
retailer,electronic publishing,Chemicals
retailer,elimination waste,Construction Buildings
retailer,energy services to industry,Food Related Products
retailer,engine accessories,Automotive LDV
retailer,english porcelain,Construction Buildings
retailer,environment fungicides,Agriculture & Livestock
retailer,environmentally-friendly products,Agriculture & Livestock
retailer,equine care,Agriculture & Livestock
retailer,equipment,Machinery & Equipment
retailer,equipment for producing butter,Food Related Products
retailer,equipment for producing cream,Food Related Products
retailer,equipment for producing yoghurt,Food Related Products
retailer,equipment for the glass industry,Machinery & Equipment
retailer,"equipment, reconditioned",Machinery & Equipment
retailer,essential oils,Food Related Products
retailer,essential oils for the body,Food Related Products
retailer,exotic plants,Agriculture & Livestock
retailer,extending partitions,Construction Buildings
retailer,extract,Food Related Products
retailer,extraction equipment ores,Machinery & Equipment
retailer,"extraction equipment, minerals",Machinery & Equipment
retailer,"extraction machinery, minerals",Machinery & Equipment
retailer,"extraction machinery, ores",Machinery & Equipment
retailer,eyeglass accessory,Construction Residential
retailer,farm machinery,Machinery & Equipment
retailer,farm school,Food Related Products
retailer,farming machinery,Machinery & Equipment
retailer,fashion accessories,Other Metals
retailer,fast food,Food Related Products
retailer,feeding equipment,Agriculture & Livestock
retailer,finance,Other Transport
retailer,finding foreign service providers,Iron & Steel
retailer,finding local service providers,Iron & Steel
retailer,fire protection equipment,Automotive HDV
retailer,fish,Fishing & Forestry
retailer,fish shops,Agriculture & Livestock
retailer,"fishing boats, equipment",Fishing & Forestry
retailer,"fishing boats, materials",Fishing & Forestry
retailer,fishing equipment,Agriculture & Livestock
retailer,fishing gear,Fishing & Forestry
retailer,fishing line,Fishing & Forestry
retailer,fishing nets,Fishing & Forestry
retailer,fishing rod,Fishing & Forestry
retailer,flavoured vinegars,Food Related Products
retailer,floral compositions,Agriculture & Livestock
retailer,floristry,Other Industry
retailer,floristry equipment,Machinery & Equipment
retailer,floristry supplies,Machinery & Equipment
retailer,florists,Machinery & Equipment
retailer,flowering plants,Agriculture & Livestock
retailer,flowers,Fishing & Forestry
retailer,food,Food Related Products
retailer,food additives,Food Related Products
retailer,food extract,Food Related Products
retailer,food for tortoises,Fishing & Forestry
retailer,food industry machines,Machinery & Equipment
retailer,food intolerance,Food Related Products
retailer,food spain,Food Related Products
retailer,food specialities,Food Related Products
retailer,food supermarkets with traditional sales,Food Related Products
retailer,food supplement,Food Related Products
retailer,"foods, health",Food Related Products
retailer,"foods, macrobiotic",Food Related Products
retailer,"foods, precooked",Food Related Products
retailer,foreign wines,Food Related Products
retailer,forestry equipment,Machinery & Equipment
retailer,forestry machinery,Machinery & Equipment
retailer,freeze-dried fish,Food Related Products
